 mode no    eigenvalue   Sum(1/eigenvalue)
         767   3.9804225       147.39720    
         768   3.9787164       147.64854    
         769   3.9741352       147.90018    
         770   3.9723113       148.15192    
         771   3.9693840       148.40384    
         772   3.9662943       148.65596    
         773   3.9649069       148.90817    
         774   3.9639068       149.16045    
         775   3.9590199       149.41304    
         776   3.9542265       149.66594    
         777   3.9537294       149.91887    
         778   3.9522421       150.17189    
         779   3.9484339       150.42516    
         780   3.9471941       150.67850    
         781   3.9444172       150.93202    
         782   3.9393272       151.18587    
         783   3.9350252       151.44000    
         784   3.9328582       151.69427    
         785   3.9303358       151.94870    
         786   3.9297314       152.20317    
         787   3.9262941       152.45787    
         788   3.9231501       152.71277    
         789   3.9204104       152.96785    
         790   3.9181664       153.22307    
         791   3.9144063       153.47853    
         792   3.9087143       153.73438    
         793   3.9050765       153.99045    
         794   3.9013023       154.24677    
         795   3.8983026       154.50328    
         796   3.8975909       154.75984    
         797   3.8908205       155.01686    
         798   3.8876574       155.27408    
         799   3.8839941       155.53154    
         800   3.8820908       155.78914    
         801   3.8781788       156.04700    
         802   3.8738897       156.30513    
         803   3.8686495       156.56361    
         804   3.8653953       156.82233    
         805   3.8626659       157.08122    
         806   3.8604565       157.34026    
         807   3.8568523       157.59953    
         808   3.8552291       157.85892    
         809   3.8495417       158.11868    
         810   3.8453190       158.37874    
         811   3.8436725       158.63890    
         812   3.8411291       158.89925    
         813   3.8369167       159.15987    
         814   3.8353722       159.42059    
         815   3.8333163       159.68146    
         816   3.8314414       159.94246    
         817   3.8289559       160.20363    
         818   3.8260448       160.46500    
         819   3.8234916       160.72653    
         820   3.8190751       160.98837    
         821   3.8162813       161.25041    
         822   3.8111966       161.51280    
         823   3.8067625       161.77550    
         824   3.8057752       162.03825    
         825   3.8007019       162.30136    
         826   3.7978680       162.56467    
         827   3.7964168       162.82808    
         828   3.7933276       163.09171    
         829   3.7872493       163.35574    
         830   3.7845070       163.61998    
         831   3.7835476       163.88428    
         832   3.7811432       164.14874    
         833   3.7795153       164.41333    
         834   3.7792561       164.67793    
         835   3.7761230       164.94275    
         836   3.7758036       165.20760    
         837   3.7700725       165.47284    
         838   3.7664888       165.73834    
         839   3.7638521       166.00403    
         840   3.7604742       166.26996    
         841   3.7559717       166.53619    
         842   3.7555234       166.80247    
         843   3.7494969       167.06918    
         844   3.7484264       167.33597    
         845   3.7464056       167.60289    
         846   3.7421112       167.87012    
         847   3.7398984       168.13750    
         848   3.7356329       168.40518    
         849   3.7341249       168.67299    
         850   3.7326279       168.94090    
         851   3.7303455       169.20897    
         852   3.7285812       169.47717    
         853   3.7275338       169.74545    
         854   3.7248158       170.01392    
         855   3.7226856       170.28253    
         856   3.7196217       170.55138    
         857   3.7183208       170.82031    
         858   3.7150199       171.08949    
         859   3.7134318       171.35878    
         860   3.7062685       171.62859    
         861   3.7056403       171.89844    
         862   3.7009013       172.16864    
         863   3.6994083       172.43895    
         864   3.6958253       172.70952    
         865   3.6914754       172.98041    
         866   3.6893539       173.25146    
         867   3.6877096       173.52263    
         868   3.6848276       173.79401    
         869   3.6821542       174.06558    
         870   3.6806531       174.33728    
         871   3.6762764       174.60930    
         872   3.6739593       174.88148    
         873   3.6733823       175.15372    
         874   3.6688247       175.42628    
         875   3.6675591       175.69894    
         876   3.6647863       175.97182    
         877   3.6625125       176.24486    
         878   3.6596060       176.51811    
         879   3.6556921       176.79166    
         880   3.6532466       177.06538    
         881   3.6506989       177.33931    
         882   3.6460223       177.61359    
         883   3.6437564       177.88803    
         884   3.6423643       178.16258    
         885   3.6389296       178.43739    
         886   3.6349370       178.71249    
         887   3.6323168       178.98779    
         888   3.6304960       179.26324    
         889   3.6272783       179.53894    
         890   3.6215544       179.81506    
         891   3.6193597       180.09135    
         892   3.6170409       180.36783    
         893   3.6141574       180.64452    
         894   3.6134770       180.92126    
         895   3.6085145       181.19838    
         896   3.6064305       181.47566    
         897   3.6053672       181.75302    
         898   3.6046546       182.03044    
         899   3.5992577       182.30827    
         900   3.5965283       182.58632    
         901   3.5912533       182.86478    
         902   3.5900919       183.14333    
         903   3.5880268       183.42203    
         904   3.5850708       183.70096    
         905   3.5833435       183.98003    
         906   3.5819075       184.25920    
         907   3.5805066       184.53850    
         908   3.5766587       184.81808    
         909   3.5721502       185.09802    
         910   3.5690229       185.37820    
         911   3.5655410       185.65866    
         912   3.5641878       185.93922    
         913   3.5617785       186.21999    
         914   3.5552733       186.50125    
         915   3.5536797       186.78265    
         916   3.5526848       187.06413    
         917   3.5506423       187.34578    
